tid,cls,row,col
0,0,106,4835
0,0,309,2609
0,0,412,2891
0,0,431,1823
0,0,449,3309
0,0,472,4105
0,0,603,2727
0,0,805,1873
0,0,855,2146
0,0,974,4366
0,0,989,3565
0,0,1061,1368
0,0,1117,2290
0,0,1227,2554
0,0,1379,1986
0,0,1393,3414
0,0,1421,1847
0,0,1516,2525
0,0,1570,1361
0,0,1597,1864
0,0,1666,2465
0,0,1672,3710
0,0,1680,2326
0,0,1717,4650
0,0,1792,1328
0,0,1803,4926
0,0,1860,3750
0,0,1865,1671
0,0,1872,2127
0,0,1892,2972
0,0,1925,3910
0,0,1952,1221
0,0,2016,2540
0,0,2133,2292
0,0,2196,1952
0,0,2321,3277
0,0,2327,2773
0,0,2388,2257
0,0,2416,1545
0,0,2447,4036
0,0,2446,4791
0,0,2516,3786
0,0,2585,1409
0,0,2610,2174
0,0,2801,3396
0,0,2907,4085
0,0,2995,1937
0,0,2997,4449
0,0,3040,687
0,0,3041,2841
0,0,3081,4260
0,0,3099,2556
0,0,3209,1917
0,0,3210,3822
0,0,3257,2273
0,0,3342,867
0,0,3433,2911
0,0,3434,3506
0,0,3451,4106
0,0,3476,4720
0,0,3539,3638
0,0,3727,2353
0,1,762,2836
0,1,1116,2864
0,1,1249,4974
0,1,1330,2754
0,1,1480,1040
0,1,1504,4978
0,1,1947,5324
0,1,1969,3531
0,1,2627,630
0,1,2650,5135
0,1,3094,4018
0,1,3178,1437
0,2,42,4240
0,2,74,3833
0,2,94,4470
0,2,102,2946
0,2,104,4750
0,2,110,2724
0,2,112,3925
0,2,140,3700
0,2,149,4575
0,2,158,2642
0,2,164,3860
0,2,167,2141
0,2,168,4523
0,2,182,4803
0,2,184,3028
0,2,187,2481
0,2,194,3384
0,2,194,3749
0,2,202,2090
0,2,206,2746
0,2,208,2912
0,2,211,2814
0,2,215,2330
0,2,220,3919
0,2,224,3829
0,2,225,3513
0,2,227,2560
0,2,238,3252
0,2,244,2063
0,2,256,3407
0,2,258,2962
0,2,266,3732
